from,to,relationship
ul,cdu,1
lk,spd,1
nr,cdu,1
sw,linke,1
cs,NA,2
cl,fdp,1
ks,NA,2
lm,NA,2
kd,NA,2
el,NA,2
ab,grünen,1
ft,NA,2
am,NA,2
agl,fdp,1
er,NA,2
rh,grünen,1
cm,swp,1
kp,NA,2
rk,cdu,1
cl,spd,1
sb,NA,2
ch,NA,2
mw,NA,2
os,spd,1
ul,500,1
lk,500,1
nr,500,1
sw,500,1
cs,500,2
cl,501,1
nr,501,1
ks,501,2
lu,501,2
el,501,2
ab,502,1
ft,502,2
am,502,2
agl,502,1
er,502,2
rh,504,1
lk,504,1
cm,504,1
kp,504,2
rk,504,1
cl,504,1
sb,504,2
ch,504,2
mw,504,2
os,505,1
